feature,importance
sensor_11,0.17141090347586738
sensor_4,0.16140566785463883
sensor_12,0.15430196303171986
sensor_7,0.10454109286652993
sensor_15,0.0735116738482953
sensor_21,0.0642643147820274
sensor_20,0.04723468386895149
sensor_2,0.04205142266346082
sensor_9,0.03903070853520954
sensor_14,0.03164207480212181
time_in_cycles,0.0314246337137409
sensor_3,0.02788919889297285
sensor_17,0.025235316299344942
sensor_8,0.014975639342260266
sensor_13,0.006681906651647864
operational_setting_1,0.00257544307824612
operational_setting_2,0.0018172238857892932
sensor_6,6.1324071754305725e-06
sensor_5,0.0
operational_setting_3,0.0
sensor_1,0.0
sensor_10,0.0
sensor_16,0.0
sensor_19,0.0
sensor_18,0.0
